duplex_eligible,PES_phrase,RR_phrase,EC_phrase,WES_word,WRS_word,WC_word,first_last_max_phrase_len,first_last_num_matches,poem_id,n_lines,author,poem_title,form,num_pairs_passing_echo,first_last_passes_echo
True,3.0,0.42857142857142855,2.5714285714285716,3.7142857142857144,0.42857142857142855,3.285714285714286,7.0,3.0,0,14,Jericho Brown,Duplex (p. 18),duplex,9,True
True,4.142857142857143,0.5714285714285714,3.571428571428572,3.0,0.14285714285714285,2.857142857142857,6.0,3.0,1,14,Jericho Brown,Duplex (p. 27),duplex,7,True
True,5.142857142857143,0.5714285714285714,4.571428571428572,3.142857142857143,0.5714285714285714,2.571428571428571,3.0,2.0,2,14,Jericho Brown,Duplex (p. 49),duplex,10,True
True,3.4285714285714284,1.0,2.4285714285714284,2.5714285714285716,0.5714285714285714,2.0,6.0,4.0,3,14,Jericho Brown,Duplex (p. 68),duplex,10,True
True,2.142857142857143,0.5714285714285714,1.5714285714285714,3.0,0.2857142857142857,2.7142857142857144,4.0,5.0,4,14,Jericho Brown,Duplex: Cento (p. 72),duplex,8,True
